ORIG_NUTS2016;DEST_NUTS2016;Annee;ORIG_NUTS2016_LIBELLE;DEST_NUTS2016_LIBELLE;ORIG_NUTS2016_longitude;ORIG_NUTS2016_latitude;DEST_NUTS2016_longitude;DEST_NUTS2016_latitude;TKM;OBS
FR10;FRB0;2019;Ile-de-France;Centre - Val de Loire;2,512677817;48,71111062;1,684458977;47,47698016;1812942344;1577
FR10;FRC1;2019;Ile-de-France;Bourgogne;2,512677817;48,71111062;4,149827467;47,24581111;886804453,5;689
FRB0;FRC1;2019;Centre - Val de Loire;Bourgogne;1,684458977;47,47698016;4,149827467;47,24581111;612757672,5;505
FR10;FRC2;2019;Ile-de-France;Franche-Comté;2,512677817;48,71111062;6,088355098;47,2102315;366957761,5;202
FRB0;FRC2;2019;Centre - Val de Loire;Franche-Comté;1,684458977;47,47698016;6,088355098;47,2102315;185797433;86
FRC1;FRC2;2019;Bourgogne;Franche-Comté;4,149827467;47,24581111;6,088355098;47,2102315;393555937,7;444
FR10;FRD1;2019;Ile-de-France;Basse-Normandie;2,512677817;48,71111062;-0,525358071;48,92425398;737090094,3;525
FRB0;FRD1;2019;Centre - Val de Loire;Basse-Normandie;1,684458977;47,47698016;-0,525358071;48,92425398;297390164;257
FRC1;FRD1;2019;Bourgogne;Basse-Normandie;4,149827467;47,24581111;-0,525358071;48,92425398;128588285,2;66
FRC2;FRD1;2019;Franche-Comté;Basse-Normandie;6,088355098;47,2102315;-0,525358071;48,92425398;100903836;40
FR10;FRD2;2019;Ile-de-France;Haute-Normandie;2,512677817;48,71111062;1,018677566;49,38989471;1172932378;1197
FRB0;FRD2;2019;Centre - Val de Loire;Haute-Normandie;1,684458977;47,47698016;1,018677566;49,38989471;919931416,3;639
FRC1;FRD2;2019;Bourgogne;Haute-Normandie;4,149827467;47,24581111;1,018677566;49,38989471;584169141,9;209
FRC2;FRD2;2019;Franche-Comté;Haute-Normandie;6,088355098;47,2102315;1,018677566;49,38989471;119649955,3;51
FRD1;FRD2;2019;Basse-Normandie;Haute-Normandie;-0,525358071;48,92425398;1,018677566;49,38989471;1030292081;940
FR10;FRE1;2019;Ile-de-France;Nord-Pas de Calais;2,512677817;48,71111062;2,736428176;50,4647819;1958865666;1264
FRB0;FRE1;2019;Centre - Val de Loire;Nord-Pas de Calais;1,684458977;47,47698016;2,736428176;50,4647819;834796643,8;384
FRC1;FRE1;2019;Bourgogne;Nord-Pas de Calais;4,149827467;47,24581111;2,736428176;50,4647819;881155728,7;237
FRC2;FRE1;2019;Franche-Comté;Nord-Pas de Calais;6,088355098;47,2102315;2,736428176;50,4647819;187138948,7;89
FRD1;FRE1;2019;Basse-Normandie;Nord-Pas de Calais;-0,525358071;48,92425398;2,736428176;50,4647819;344515794,3;189
FRD2;FRE1;2019;Haute-Normandie;Nord-Pas de Calais;1,018677566;49,38989471;2,736428176;50,4647819;860676053,2;564
FR10;FRE2;2019;Ile-de-France;Picardie;2,512677817;48,71111062;2,808032847;49,64229786;1488961886;1518
FRB0;FRE2;2019;Centre - Val de Loire;Picardie;1,684458977;47,47698016;2,808032847;49,64229786;496803157,6;369
FRC1;FRE2;2019;Bourgogne;Picardie;4,149827467;47,24581111;2,808032847;49,64229786;230235556,8;131
FRC2;FRE2;2019;Franche-Comté;Picardie;6,088355098;47,2102315;2,808032847;49,64229786;165159869,8;79
FRD1;FRE2;2019;Basse-Normandie;Picardie;-0,525358071;48,92425398;2,808032847;49,64229786;202196649,5;143
FRD2;FRE2;2019;Haute-Normandie;Picardie;1,018677566;49,38989471;2,808032847;49,64229786;879222349,8;786
FRE1;FRE2;2019;Nord-Pas de Calais;Picardie;2,736428176;50,4647819;2,808032847;49,64229786;1774407049;1447
FR10;FRF1;2019;Ile-de-France;Alsace;2,512677817;48,71111062;7,436200924;48,32705938;546165469,7;244
FRB0;FRF1;2019;Centre - Val de Loire;Alsace;1,684458977;47,47698016;7,436200924;48,32705938;255843787;108
FRC1;FRF1;2019;Bourgogne;Alsace;4,149827467;47,24581111;7,436200924;48,32705938;315963219,7;172
FRC2;FRF1;2019;Franche-Comté;Alsace;6,088355098;47,2102315;7,436200924;48,32705938;368982724,8;365
FRD1;FRF1;2019;Basse-Normandie;Alsace;-0,525358071;48,92425398;7,436200924;48,32705938;66162303,08;33
FRD2;FRF1;2019;Haute-Normandie;Alsace;1,018677566;49,38989471;7,436200924;48,32705938;142463877,5;54
FRE1;FRF1;2019;Nord-Pas de Calais;Alsace;2,736428176;50,4647819;7,436200924;48,32705938;302042607,2;123
FRE2;FRF1;2019;Picardie;Alsace;2,808032847;49,64229786;7,436200924;48,32705938;246145297,2;114
FR10;FRF2;2019;Ile-de-France;Champagne-Ardenne;2,512677817;48,71111062;4,544480684;48,73129082;817531636,3;722
FRB0;FRF2;2019;Centre - Val de Loire;Champagne-Ardenne;1,684458977;47,47698016;4,544480684;48,73129082;622422183,6;295
FRC1;FRF2;2019;Bourgogne;Champagne-Ardenne;4,149827467;47,24581111;4,544480684;48,73129082;415351692,3;356
FRC2;FRF2;2019;Franche-Comté;Champagne-Ardenne;6,088355098;47,2102315;4,544480684;48,73129082;219925015,3;165
FRD1;FRF2;2019;Basse-Normandie;Champagne-Ardenne;-0,525358071;48,92425398;4,544480684;48,73129082;167375041,6;76
FRD2;FRF2;2019;Haute-Normandie;Champagne-Ardenne;1,018677566;49,38989471;4,544480684;48,73129082;356034594,3;171
FRE1;FRF2;2019;Nord-Pas de Calais;Champagne-Ardenne;2,736428176;50,4647819;4,544480684;48,73129082;687673580,3;430
FRE2;FRF2;2019;Picardie;Champagne-Ardenne;2,808032847;49,64229786;4,544480684;48,73129082;696448785,7;490
FRF1;FRF2;2019;Alsace;Champagne-Ardenne;7,436200924;48,32705938;4,544480684;48,73129082;448226753,2;216
FR10;FRF3;2019;Ile-de-France;Lorraine;2,512677817;48,71111062;6,142897531;48,76350565;947683357,4;582
FRB0;FRF3;2019;Centre - Val de Loire;Lorraine;1,684458977;47,47698016;6,142897531;48,76350565;449683204,8;202
FRC1;FRF3;2019;Bourgogne;Lorraine;4,149827467;47,24581111;6,142897531;48,76350565;377384637,8;237
FRC2;FRF3;2019;Franche-Comté;Lorraine;6,088355098;47,2102315;6,142897531;48,76350565;381615681,1;339
FRD1;FRF3;2019;Basse-Normandie;Lorraine;-0,525358071;48,92425398;6,142897531;48,76350565;103594521,7;51
FRD2;FRF3;2019;Haute-Normandie;Lorraine;1,018677566;49,38989471;6,142897531;48,76350565;193384132,1;102
FRE1;FRF3;2019;Nord-Pas de Calais;Lorraine;2,736428176;50,4647819;6,142897531;48,76350565;510404714,2;345
FRE2;FRF3;2019;Picardie;Lorraine;2,808032847;49,64229786;6,142897531;48,76350565;343575447,5;216
FRF1;FRF3;2019;Alsace;Lorraine;7,436200924;48,32705938;6,142897531;48,76350565;792850558,7;798
FRF2;FRF3;2019;Champagne-Ardenne;Lorraine;4,544480684;48,73129082;6,142897531;48,76350565;928135527,8;762
FR10;FRG0;2019;Ile-de-France;Pays de la Loire;2,512677817;48,71111062;-0,812654278;47,4783624;1627122236;1136
FRB0;FRG0;2019;Centre - Val de Loire;Pays de la Loire;1,684458977;47,47698016;-0,812654278;47,4783624;1679774541;1284
FRC1;FRG0;2019;Bourgogne;Pays de la Loire;4,149827467;47,24581111;-0,812654278;47,4783624;419910619,5;231
FRC2;FRG0;2019;Franche-Comté;Pays de la Loire;6,088355098;47,2102315;-0,812654278;47,4783624;164649249,9;73
FRD1;FRG0;2019;Basse-Normandie;Pays de la Loire;-0,525358071;48,92425398;-0,812654278;47,4783624;857809046,4;791
FRD2;FRG0;2019;Haute-Normandie;Pays de la Loire;1,018677566;49,38989471;-0,812654278;47,4783624;1020121225;615
FRE1;FRG0;2019;Nord-Pas de Calais;Pays de la Loire;2,736428176;50,4647819;-0,812654278;47,4783624;994969450,5;435
FRE2;FRG0;2019;Picardie;Pays de la Loire;2,808032847;49,64229786;-0,812654278;47,4783624;589750637;310
FRF1;FRG0;2019;Alsace;Pays de la Loire;7,436200924;48,32705938;-0,812654278;47,4783624;229456291,7;86
FRF2;FRG0;2019;Champagne-Ardenne;Pays de la Loire;4,544480684;48,73129082;-0,812654278;47,4783624;319322364,4;170
FRF3;FRG0;2019;Lorraine;Pays de la Loire;6,142897531;48,76350565;-0,812654278;47,4783624;304931033,5;158
FR10;FRH0;2019;Ile-de-France;Bretagne;2,512677817;48,71111062;-2,829675658;48,1775623;1425620161;628
FRB0;FRH0;2019;Centre - Val de Loire;Bretagne;1,684458977;47,47698016;-2,829675658;48,1775623;1077548784;535
FRC1;FRH0;2019;Bourgogne;Bretagne;4,149827467;47,24581111;-2,829675658;48,1775623;302146287,7;110
FRC2;FRH0;2019;Franche-Comté;Bretagne;6,088355098;47,2102315;-2,829675658;48,1775623;97573542,14;30
FRD1;FRH0;2019;Basse-Normandie;Bretagne;-0,525358071;48,92425398;-2,829675658;48,1775623;834413519,7;738
FRD2;FRH0;2019;Haute-Normandie;Bretagne;1,018677566;49,38989471;-2,829675658;48,1775623;1032165214;522
FRE1;FRH0;2019;Nord-Pas de Calais;Bretagne;2,736428176;50,4647819;-2,829675658;48,1775623;807296946,6;268
FRE2;FRH0;2019;Picardie;Bretagne;2,808032847;49,64229786;-2,829675658;48,1775623;510802171,3;196
FRF1;FRH0;2019;Alsace;Bretagne;7,436200924;48,32705938;-2,829675658;48,1775623;254477814,2;53
FRF2;FRH0;2019;Champagne-Ardenne;Bretagne;4,544480684;48,73129082;-2,829675658;48,1775623;301263800,8;117
FRF3;FRH0;2019;Lorraine;Bretagne;6,142897531;48,76350565;-2,829675658;48,1775623;280210205,6;87
FRG0;FRH0;2019;Pays de la Loire;Bretagne;-0,812654278;47,4783624;-2,829675658;48,1775623;2648960587;2417
FR10;FRI1;2019;Ile-de-France;Aquitaine;2,512677817;48,71111062;-0,235974762;44,35241278;793441977,9;231
FRB0;FRI1;2019;Centre - Val de Loire;Aquitaine;1,684458977;47,47698016;-0,235974762;44,35241278;706896947,7;287
FRC1;FRI1;2019;Bourgogne;Aquitaine;4,149827467;47,24581111;-0,235974762;44,35241278;286829466,8;96
